"Our results through the end of the century are generated based on today’s existing property numbers, property values, and related data (Zillow 2017).",,,,,,,,,,,,,,
ZIP Codes are defined by US Census Bureau ZIP Code Tabulation Areas.,,,,,,,,,,,,,,
"In some cases, our underlying source datasets may not reflect all local features such as recently-constructed seawalls and locally-controlled levees. In those cases, the flood-mitigating effects of such structures may not be reflected in the projected degree of flooding.",,,,,,,,,,,,,,
Year,Projection,State,ZIP Code, Homes at Risk ,Value at Risk,Property Tax at Risk, Population currently housed in at risk homes , Total Homes ,Total Value,Total Property Tax, Total Population ,,,
2030,NCAH,FL,32639, 9 ,"$249,630","$4,142", 13 , 489 ,"$35,976,247","$347,276", 397 ,,,
2030,NCAH,FL,33154, 27 ,"$35,547,176","$689,277", 38 ," 10,038 ","$9,944,792,523","$147,683,691"," 13,971 ",,,
2030,NCAH,FL,34228, 191 ,"$86,123,246","$1,062,406", 149 ," 10,179 ","$6,035,555,873","$80,809,546"," 6,888 ",,,
2030,NCAH,FL,33137, 3 ,"$7,155,450","$96,115", 5 ," 8,029 ","$6,203,940,049","$98,272,927"," 19,410 ",,,
2030,NCAH,FL,33480, 181 ,"$338,358,462","$4,675,019", 163 ," 10,626 ","$21,279,440,622","$287,905,555"," 9,549 ",,,
2030,NCAH,FL,33138, 67 ,"$29,878,177","$391,457", 137 ," 9,744 ","$4,068,718,741","$60,005,309"," 27,571 ",,,
2030,NCAH,FL,33408, 70 ,"$18,169,536","$297,530", 99 ," 12,055 ","$6,576,412,608","$103,513,627"," 16,921 ",,,
2030,NCAH,FL,33034, 1 ,"$100,648","$1,634", 3 ," 6,447 ","$1,110,925,524","$13,589,799"," 18,613 ",,,
2030,NCAH,FL,33037, 915 ,"$500,087,536","$4,154,632"," 1,024 "," 14,778 ","$7,030,375,988","$55,105,956"," 11,612 ",,,
2030,NCAH,FL,33146, 4 ,"$7,582,209","$85,777", 9 ," 4,808 ","$5,223,246,989","$64,702,023"," 14,995 ",,,
2030,NCAH,FL,32571, 2 ,"$533,414","$5,737", 5 ," 15,599 ","$1,857,524,343","$18,678,870"," 28,881 ",,,
2030,NCAH,FL,32579, 3 ,"$1,212,308","$13,407", 6 ," 4,456 ","$940,677,893","$9,519,672"," 9,997 ",,,
2030,NCAH,FL,33051, 6 ,"$2,592,795","$25,568", 3 ," 1,379 ","$681,379,162","$6,179,785", 796 ,,,
2030,NCAH,FL,33054, 6 ,"$491,215","$9,120", 17 ," 8,718 ","$1,820,801,233","$30,130,025"," 29,061 ",,,
2030,NCAH,FL,34690, 39 ,"$6,862,561","$93,477", 74 ," 8,843 ","$6,528,953,118","$6,415,047"," 13,137 ",,,
2030,NCAH,FL,34691, 6 ,"$4,790,501","$69,214", 11 ," 12,521 ","$3,784,593,676","$37,471,610"," 21,079 ",,,
2030,NCAH,FL,33707, 43 ,"$19,782,137","$259,896", 66 ," 13,856 ","$2,929,168,079","$40,966,279"," 24,599 ",,,
2030,NCAH,FL,33432, 3 ,"$2,960,750","$53,740", 4 ," 11,491 ","$9,488,395,510","$151,303,992"," 18,715 ",,,
2030,NCAH,FL,32583, 42 ,"$8,825,388","$103,732", 96 ," 17,589 ","$1,234,589,167","$12,547,379"," 25,586 ",,,
2030,NCAH,FL,33785, 89 ,"$27,425,288","$440,702", 81 ," 5,743 ","$1,991,064,135","$30,441,869"," 5,533 ",,,
2030,NCAH,FL,32625, 86 ,"$19,892,557","$398,884", 134 ," 2,577 ","$263,848,282","$4,213,600"," 1,838 ",,,
2030,NCAH,FL,33404, 1 ,"$938,671","$21,009", 2 ," 15,493 ","$4,998,805,979","$94,709,213"," 27,489 ",,,
2030,NCAH,FL,34215, 18 ,"$6,758,582","$81,779", 20 , 644 ,"$204,565,628","$2,429,737", 768 ,,,
2030,NCAH,FL,34217, 820 ,"$364,623,832","$4,143,130", 681 ," 6,072 ","$2,744,795,169","$32,454,880"," 5,007 ",,,
2030,NCAH,FL,32960, 3 ,"$721,130","$13,507", 5 ," 10,321 ","$2,004,133,050","$24,122,200"," 20,037 ",,,
2030,NCAH,FL,34207, 17 ,"$3,479,293","$57,706", 28 ," 14,260 ","$1,513,371,874","$19,163,834"," 29,728 ",,,
2030,NCAH,FL,34208, 77 ,"$14,249,734","$199,806", 180 ," 12,705 ","$2,326,620,519","$27,010,638"," 33,121 ",,,
2030,NCAH,FL,33134, 1 ,"$1,843,956","$15,709", 2 ," 14,766 ","$9,157,602,375","$136,013,437"," 37,456 ",,,
2030,NCAH,FL,34285, 39 ,"$7,092,300","$108,276", 45 ," 15,112 ","$3,284,213,316","$44,047,952"," 17,599 ",,,
2030,NCAH,FL,32322, 11 ,"$4,341,329","$52,325", 13 ," 4,967 ","$327,567,760","$3,790,256"," 4,007 ",,,
2030,NCAH,FL,34216, 229 ,"$146,273,617","$1,536,051", 221 ," 1,647 ","$1,131,240,617","$12,064,202"," 1,503 ",,,
2030,NCAH,FL,33706, 141 ,"$72,771,064","$985,743", 166 ," 13,599 ","$5,219,892,640","$75,653,690"," 15,901 ",,,
2030,NCAH,FL,32526, 3 ,"$672,802","$7,145", 7 ," 17,098 ","$1,949,188,996","$20,600,394"," 36,297 ",,,
2030,NCAH,FL,34677, 51 ,"$19,304,489","$247,536", 107 ," 9,913 ","$2,268,257,904","$34,165,637"," 20,842 ",,,
2030,NCAH,FL,33016, 1 ,"$100,550","$1,650", 3 ," 14,524 ","$3,654,736,626","$51,222,939"," 45,342 ",,,
2030,NCAH,FL,34996, 28 ,"$37,032,410","$460,524", 35 ," 7,946 ","$3,029,441,420","$32,267,440"," 10,649 ",,,
2030,NCAH,FL,34135, 21 ,"$8,112,689","$94,496", 32 ," 28,762 ","$7,028,266,711","$102,004,672"," 37,315 ",,,
2030,NCAH,FL,32550, 7 ,"$2,645,953","$27,008", 3 ," 13,475 ","$4,335,431,386","$43,283,782"," 5,867 ",,,
2030,NCAH,FL,34946, 4 ,"$1,296,500","$17,657", 8 ," 3,607 ","$347,880,020","$4,760,874"," 6,025 ",,,
2030,NCAH,FL,34655, 7 ,"$1,172,758","$16,311", 15 ," 23,496 ","$65,378,738,545","$573,367,615"," 38,464 ",,,
2030,NCAH,FL,32084, 56 ,"$26,432,996","$304,711", 107 ," 18,781 ","$3,523,005,323","$41,161,317"," 29,729 ",,,
2030,NCAH,FL,33578, 2 ,"$551,152","$8,659", 5 ," 17,403 ","$3,333,270,376","$54,460,799"," 36,693 ",,,
2030,NCAH,FL,32080, 44 ,"$8,770,693","$115,278", 59 ," 17,225 ","$4,468,437,984","$59,574,554"," 20,165 ",,,
2030,NCAH,FL,32137, 95 ,"$34,993,644","$555,205", 172 ," 31,219 ","$4,930,405,165","$79,261,975"," 37,821 ",,,
2030,NCAH,FL,33764, 2 ,"$759,640","$9,940", 3 ," 10,419 ","$1,945,839,018","$29,087,092"," 24,045 ",,,
2030,NCAH,FL,33169, 4 ,"$709,927","$8,229", 11 ," 10,884 ","$2,490,656,760","$46,903,119"," 39,353 ",,,
2030,NCAH,FL,33956, 67 ,"$13,327,940","$185,777", 78 ," 4,854 ","$795,587,882","$11,291,489"," 3,776 ",,,
2030,NCAH,FL,34203, 3 ,"$415,158","$4,512", 6 ," 16,007 ","$2,703,994,022","$32,114,091"," 34,862 ",,,
2030,NCAH,FL,34287, 4 ,"$345,800","$5,359", 6 ," 18,457 ","$1,633,123,860","$27,796,079"," 23,859 ",,,
2030,NCAH,FL,32320, 11 ,"$3,037,759","$47,205", 19 ," 2,825 ","$284,578,806","$3,326,915"," 3,858 ",,,
2030,NCAH,FL,32097, 4 ,"$791,034","$10,978", 10 ," 8,706 ","$1,290,624,188","$14,425,657"," 15,616 ",,,
2030,NCAH,FL,33126, 1 ,"$146,341","$1,660", 2 ," 13,004 ","$4,227,825,289","$64,928,879"," 46,867 ",,,
2030,NCAH,FL,33774, 7 ,"$4,180,504","$66,021", 12 ," 9,013 ","$1,542,872,889","$21,377,355"," 17,712 ",,,
2030,NCAH,FL,33180, 40 ,"$10,975,293","$160,758", 60 ," 18,815 ","$9,495,973,572","$141,491,357"," 30,840 ",,,
2030,NCAH,FL,33916, 124 ,"$26,893,987","$483,172", 231 ," 10,219 ","$2,621,360,095","$41,181,935"," 20,134 ",,,
2030,NCAH,FL,34293, 4 ,"$1,156,500","$10,970", 7 ," 23,361 ","$3,750,577,378","$54,596,607"," 33,001 ",,,
2030,NCAH,FL,33013, 2 ,"$425,305","$5,048", 7 ," 8,191 ","$1,950,686,468","$24,488,382"," 33,852 ",,,
2030,NCAH,FL,33304, 14 ,"$16,949,920","$311,798", 20 ," 10,511 ","$5,672,549,130","$90,194,789"," 17,724 ",,,
2030,NCAH,FL,33629, 33 ,"$28,930,701","$384,137", 69 ," 10,744 ","$5,100,568,268","$71,015,553"," 23,638 ",,,
2030,NCAH,FL,33160, 240 ,"$236,790,299","$3,685,506", 304 ," 30,888 ","$18,722,563,743","$288,269,797"," 40,053 ",,,
2030,NCAH,FL,34652, 358 ,"$49,084,952","$742,844", 591 ," 17,858 ","$3,947,570,681","$28,535,750"," 24,147 ",,,
2030,NCAH,FL,33715, 15 ,"$8,243,441","$122,096", 17 ," 6,954 ","$2,324,857,366","$38,316,980"," 7,407 ",,,
2030,NCAH,FL,33606, 2 ,"$1,319,182","$16,859", 3 ," 6,488 ","$3,979,854,974","$51,730,603"," 17,746 ",,,
2030,NCAH,FL,33755, 1 ,"$663,896","$13,757", 2 ," 10,146 ","$1,572,645,969","$20,023,504"," 26,146 ",,,
2030,NCAH,FL,34990, 66 ,"$31,416,190","$301,220", 138 ," 14,881 ","$4,199,801,620","$44,324,600"," 27,707 ",,,
2030,NCAH,FL,32514, 3 ,"$1,298,741","$14,171", 6 ," 14,484 ","$2,435,359,034","$26,077,778"," 37,399 ",,,
2030,NCAH,FL,34688, 2 ,"$914,516","$12,437", 4 ," 3,698 ","$1,048,837,408","$15,622,890"," 7,274 ",,,
2030,NCAH,FL,34448, 12 ,"$11,694,410","$221,794", 20 ," 10,271 ","$1,026,236,972","$14,755,569"," 10,797 ",,,
2030,NCAH,FL,33703, 145 ,"$39,596,934","$544,483", 286 ," 11,273 ","$2,544,260,013","$33,962,369"," 23,680 ",,,
2030,NCAH,FL,33043, 523 ,"$179,707,972","$1,753,574", 723 ," 7,590 ","$1,079,658,458","$9,620,664"," 4,313 ",,,
2030,NCAH,FL,32169, 101 ,"$35,757,848","$661,147", 85 ," 12,179 ","$3,587,694,373","$61,566,444"," 9,816 ",,,
2030,NCAH,FL,33634, 3 ,"$929,801","$14,037", 8 ," 6,591 ","$2,310,306,598","$34,498,510"," 20,225 ",,,
2030,NCAH,FL,33140, 590 ,"$249,581,611","$3,553,654", 697 ," 15,927 ","$14,645,774,873","$202,490,994"," 21,210 ",,,
2030,NCAH,FL,32168, 5 ,"$1,562,761","$23,338", 9 ," 17,910 ","$2,522,184,339","$34,960,161"," 23,642 ",,,
2030,NCAH,FL,32207, 8 ,$5,$0, 16 ," 15,595 ","$4,775,770,382","$54,829,432"," 33,306 ",,,
2030,NCAH,FL,32580, 2 ,"$870,609","$11,119", 4 ," 1,924 ","$308,691,464","$3,194,255"," 3,662 ",,,
2030,NCAH,FL,33064, 1 ,"$375,220","$6,431", 2 ," 20,152 ","$6,178,122,330","$92,548,064"," 52,969 ",,,
2030,NCAH,FL,33483, 52 ,"$82,029,057","$1,148,261", 67 ," 8,938 ","$7,446,998,824","$122,198,473"," 12,093 ",,,
2030,NCAH,FL,33032, 1 ,"$170,470","$4,427", 3 ," 14,045 ","$2,400,815,525","$35,917,855"," 34,088 ",,,
2030,NCAH,FL,32174, 6 ,"$1,428,483","$18,341", 12 ," 23,469 ","$4,352,938,315","$63,148,117"," 47,552 ",,,
2030,NCAH,FL,33990, 5 ,"$1,609,678","$29,022", 10 ," 15,675 ","$2,701,961,704","$40,454,121"," 28,173 ",,,
2030,NCAH,FL,33166, 10 ,"$1,092,443","$14,241", 24 ," 9,987 ","$5,623,626,420","$90,637,356"," 23,038 ",,,
2030,NCAH,FL,33904, 6 ,"$2,516,517","$44,636", 10 ," 19,808 ","$4,027,969,403","$63,559,463"," 30,613 ",,,
2030,NCAH,FL,34221, 66 ,"$25,458,369","$265,757", 131 ," 20,213 ","$3,187,280,218","$34,494,352"," 39,457 ",,,
2030,NCAH,FL,34212, 1 ,"$303,375","$3,886", 2 ," 10,116 ","$2,279,171,908","$30,799,415"," 15,146 ",,,
2030,NCAH,FL,33602, 1 ,"$1,587,630","$26,608", 1 ," 7,381 ","$4,620,791,059","$63,199,725"," 11,515 ",,,
2030,NCAH,FL,32095, 10 ,"$1,974,099","$29,354", 22 ," 6,446 ","$1,236,149,053","$21,665,270"," 7,302 ",,,
2030,NCAH,FL,33905, 30 ,"$3,902,746","$49,434", 62 ," 18,783 ","$3,173,770,387","$37,049,844"," 31,203 ",,,
2030,NCAH,FL,33042, 708 ,"$324,100,243","$2,907,399", 883 ," 10,007 ","$2,363,262,268","$21,191,152"," 5,829 ",,,
2030,NCAH,FL,33914, 22 ,"$10,598,548","$178,912", 41 ," 25,951 ","$5,567,148,496","$102,077,075"," 35,848 ",,,
2030,NCAH,FL,34668, 120 ,"$21,541,849","$331,221", 225 ," 27,182 ","$14,618,052,458","$68,429,547"," 42,619 ",,,
2030,NCAH,FL,33615, 44 ,"$10,730,777","$162,293", 99 ," 14,403 ","$2,541,950,117","$36,340,228"," 43,453 ",,,
2030,NCAH,FL,33756, 6 ,"$8,765,002","$151,165", 11 ," 12,954 ","$3,017,156,887","$38,731,839"," 31,275 ",,,
2030,NCAH,FL,32112, 28 ,"$4,057,476","$65,090", 51 ," 6,772 ","$372,728,904","$5,191,227"," 7,713 ",,,
2030,NCAH,FL,33991, 1 ,"$546,627","$10,091", 2 ," 15,955 ","$2,180,843,981","$42,750,821"," 18,010 ",,,
2030,NCAH,FL,33125, 212 ,"$18,306,408","$242,027", 538 ," 10,731 ","$3,475,047,231","$42,572,627"," 52,677 ",,,
2030,NCAH,FL,33772, 5 ,"$1,278,525","$13,117", 9 ," 10,884 ","$1,844,370,023","$22,718,928"," 22,981 ",,,
2030,NCAH,FL,32212, 1 ,"$781,484","$8,313", 3 , 2 ,"$591,417","$6,291"," 1,959 ",,,
2030,NCAH,FL,32561, 33 ,"$15,838,531","$200,711", 42 ," 7,511 ","$4,198,456,782","$30,675,476"," 7,899 ",,,
2030,NCAH,FL,32141, 2 ,"$602,946","$14,516", 4 ," 10,571 ","$1,061,135,728","$14,676,515"," 17,603 ",,,
2030,NCAH,FL,32145, 3 ,"$310,123","$3,591", 7 ," 6,753 ","$203,652,959","$3,549,944"," 5,456 ",,,
2030,NCAH,FL,32548, 6 ,"$1,553,261","$21,231", 9 ," 12,945 ","$2,581,955,996","$30,865,106"," 19,343 ",,,
2030,NCAH,FL,32459, 12 ,"$2,603,033","$23,444", 12 ," 21,403 ","$6,967,096,164","$67,802,977"," 11,457 ",,,
2030,NCAH,FL,32139, 10 ,"$1,180,208","$17,446", 14 ," 5,380 ","$78,984,144","$1,233,710"," 1,129 ",,,
2030,NCAH,FL,32547, 3 ,"$1,534,614","$16,451", 6 ," 12,627 ","$2,138,962,752","$21,573,773"," 32,485 ",,,
2030,NCAH,FL,32355, 7 ,"$1,313,808","$15,544", 10 , 566 ,"$41,534,660","$567,133", 312 ,,,
2030,NCAH,FL,32034, 68 ,"$17,487,823","$231,910", 115 ," 22,538 ","$6,046,063,987","$85,573,204"," 31,008 ",,,
2030,NCAH,FL,32211, 1 ,"$192,221","$2,045", 2 ," 11,503 ","$2,832,914,301","$33,393,498"," 30,501 ",,,
2030,NCAH,FL,32506, 22 ,"$4,203,166","$42,071", 48 ," 15,125 ","$1,506,858,011","$17,238,422"," 33,846 ",,,
2030,NCAH,FL,32507, 82 ,"$24,959,856","$338,150", 138 ," 21,523 ","$3,096,343,781","$39,156,309"," 28,996 ",,,
2030,NCAH,FL,32092, 55 ,"$11,459,941","$147,208", 140 ," 15,876 ","$3,179,562,315","$47,230,398"," 28,242 ",,,
2030,NCAH,FL,32131, 40 ,"$5,852,163","$88,942", 82 ," 3,380 ","$377,023,833","$4,499,066"," 4,701 ",,,
2030,NCAH,FL,32563, 36 ,"$12,614,712","$151,986", 79 ," 12,843 ","$1,990,323,686","$23,506,450"," 22,406 ",,,
2030,NCAH,FL,32082, 166 ,"$86,630,827","$1,068,132", 320 ," 16,025 ","$7,635,296,964","$93,599,919"," 28,996 ",,,
2030,NCAH,FL,32127, 5 ,"$1,105,515","$19,614", 9 ," 15,312 ","$3,006,179,580","$44,681,987"," 29,413 ",,,
2030,NCAH,FL,32258, 3 ,"$1,111,586","$11,824", 7 ," 13,155 ","$3,660,430,254","$49,857,648"," 26,759 ",,,
2030,NCAH,FL,32250, 340 ,"$63,404,551","$921,210", 626 ," 13,544 ","$5,571,940,604","$70,438,031"," 25,356 ",,,
2030,NCAH,FL,32259, 5 ,"$2,236,919","$28,529", 14 ," 18,396 ","$4,394,596,842","$64,910,491"," 36,917 ",,,
2030,NCAH,FL,32439, 30 ,"$3,812,138","$33,151", 55 ," 7,895 ","$612,748,249","$6,000,557"," 7,715 ",,,
2030,NCAH,FL,32190, 5 ,"$498,094","$9,924", 10 , 906 ,"$67,443,072","$746,413"," 1,170 ",,,
2030,NCAH,FL,32193, 42 ,"$4,771,700","$80,657", 49 , 960 ,"$74,937,897","$1,080,213", 825 ,,,
2030,NCAH,FL,32346, 51 ,"$7,316,707","$106,646", 50 ," 3,497 ","$291,607,257","$3,829,026"," 1,693 ",,,
2030,NCAH,FL,32327, 65 ,"$10,971,585","$149,483", 150 ," 17,895 ","$1,163,428,192","$14,423,192"," 26,953 ",,,
2030,NCAH,FL,32501, 1 ,"$417,798","$6,556", 2 ," 5,828 ","$773,555,747","$8,117,823"," 11,730 ",,,
2030,NCAH,FL,32219, 1 ,"$59,634","$1,289", 2 ," 7,479 ","$1,125,867,884","$16,687,737"," 11,886 ",,,
2030,NCAH,FL,32226, 8 ,"$1,766,475","$24,075", 21 ," 8,647 ","$2,686,895,992","$26,235,962"," 15,761 ",,,
2030,NCAH,FL,34275, 17 ,"$11,201,300","$135,028", 26 ," 12,371 ","$3,211,218,200","$43,326,968"," 16,245 ",,,
2030,NCAH,FL,34984, 24 ,"$1,585,600","$35,011", 58 ," 8,698 ","$1,160,472,700","$26,960,349"," 13,764 ",,,
2030,NCAH,FL,34982, 2 ,"$518,100","$9,099", 4 ," 11,348 ","$1,477,929,253","$25,344,649"," 24,544 ",,,
2030,NCAH,FL,34242, 60 ,"$66,999,600","$790,211", 49 ," 10,697 ","$6,107,120,500","$74,135,826"," 8,865 ",,,
2030,NCAH,FL,33920, 6 ,"$2,668,120","$28,048", 12 ," 7,883 ","$767,887,273","$8,942,351"," 4,947 ",,,
2030,NCAH,FL,33908," 1,256 ","$244,617,710","$4,031,515"," 1,591 "," 26,644 ","$10,463,065,353","$117,155,241"," 38,251 ",,,
2030,NCAH,FL,33922, 64 ,"$19,031,500","$246,754", 92 ," 5,278 ","$612,420,826","$8,205,705"," 4,055 ",,,
2030,NCAH,FL,33917, 53 ,"$7,809,064","$95,374", 86 ," 16,023 ","$2,112,641,983","$27,131,993"," 28,666 ",,,
2030,NCAH,FL,33919, 21 ,"$6,850,927","$64,378", 31 ," 18,135 ","$4,350,410,290","$49,076,206"," 27,837 ",,,
2030,NCAH,FL,33931," 1,042 ","$237,886,617","$3,302,210", 730 ," 12,214 ","$4,762,125,212","$63,187,183"," 10,005 ",,,
2030,NCAH,FL,34997, 13 ,"$6,270,510","$69,027", 26 ," 21,371 ","$4,626,526,838","$48,822,289"," 40,405 ",,,
2030,NCAH,FL,34994, 120 ,"$24,933,770","$417,450", 190 ," 9,317 ","$2,293,089,298","$17,096,387"," 15,967 ",,,
2030,NCAH,FL,34695, 4 ,"$2,773,765","$27,209", 8 ," 7,699 ","$1,725,909,443","$22,258,854"," 17,496 ",,,
2030,NCAH,FL,33993, 42 ,"$7,508,500","$122,232", 90 ," 35,225 ","$2,364,321,606","$41,004,681"," 20,628 ",,,
2030,NCAH,FL,34689, 236 ,"$72,895,647","$1,188,382", 437 ," 13,455 ","$2,497,814,290","$36,484,615"," 26,132 ",,,
2030,NCAH,FL,34134, 77 ,"$41,915,115","$544,430", 80 ," 14,845 ","$7,517,486,361","$98,358,465"," 14,112 ",,,
2030,NCAH,FL,34498, 21 ,"$3,624,841","$63,051", 23 , 686 ,"$65,050,717","$998,399", 513 ,,,
2030,NCAH,FL,34607, 416 ,"$56,167,883","$811,093", 674 ," 6,376 ","$903,020,269","$12,779,223"," 8,133 ",,,
2030,NCAH,FL,34698, 478 ,"$157,921,786","$2,280,820", 796 ," 17,825 ","$3,361,571,698","$43,534,218"," 37,240 ",,,
2030,NCAH,FL,34209, 30 ,"$11,760,732","$129,858", 54 ," 16,330 ","$3,605,835,452","$40,742,118"," 31,816 ",,,
2030,NCAH,FL,34667, 281 ,"$32,133,163","$442,636", 461 ," 25,806 ","$14,692,810,464","$52,743,439"," 32,144 ",,,
2030,NCAH,FL,34683, 248 ,"$74,131,692","$1,137,677", 504 ," 15,752 ","$3,476,866,993","$49,418,226"," 31,268 ",,,
2030,NCAH,FL,34210, 99 ,"$9,797,998","$130,359", 137 ," 8,955 ","$1,786,236,878","$21,799,006"," 15,916 ",,,
2030,NCAH,FL,34684, 14 ,"$4,108,524","$62,148", 25 ," 12,126 ","$2,254,622,353","$32,294,286"," 25,847 ",,,
2030,NCAH,FL,34223, 10 ,"$4,157,500","$58,292", 13 ," 14,776 ","$2,965,002,796","$42,257,006"," 16,875 ",,,
2030,NCAH,FL,33607, 1 ,"$19,056,484","$383,310", 2 ," 8,605 ","$4,467,736,232","$61,759,207"," 23,541 ",,,
2030,NCAH,FL,34222, 4 ,"$2,299,208","$21,591", 7 ," 4,758 ","$880,885,883","$10,225,787"," 11,952 ",,,
2030,NCAH,FL,33611, 17 ,"$7,105,486","$89,356", 31 ," 13,441 ","$3,646,002,380","$52,073,147"," 29,478 ",,,
2030,NCAH,FL,33036, 305 ,"$196,777,283","$1,884,206", 255 ," 4,355 ","$2,588,187,502","$25,056,760"," 3,035 ",,,
2030,NCAH,FL,33616, 1 ,"$28,957,100","$604,224", 2 ," 4,943 ","$1,350,796,487","$17,535,181"," 13,560 ",,,
2030,NCAH,FL,32958, 308 ,"$40,991,570","$511,937", 588 ," 16,959 ","$2,243,697,220","$28,949,241"," 25,366 ",,,
2030,NCAH,FL,33619, 12 ,"$1,407,394","$18,340", 30 ," 12,969 ","$3,622,193,494","$54,518,583"," 34,581 ",,,
2030,NCAH,FL,32962, 286 ,"$30,944,040","$297,126", 526 ," 14,291 ","$1,402,637,920","$16,768,545"," 22,716 ",,,
2030,NCAH,FL,33410, 85 ,"$15,852,558","$247,736", 160 ," 13,839 ","$6,835,199,632","$114,826,434"," 32,570 ",,,
2030,NCAH,FL,32967, 16 ,"$7,931,100","$106,893", 31 ," 14,645 ","$2,293,414,091","$26,127,844"," 19,518 ",,,
2030,NCAH,FL,33469, 12 ,"$10,678,625","$139,093", 20 ," 8,669 ","$3,972,612,403","$57,170,327"," 14,449 ",,,
2030,NCAH,FL,33143, 3 ,"$8,973,859","$147,985", 6 ," 12,569 ","$8,839,560,993","$117,864,954"," 31,407 ",,,
2030,NCAH,FL,33702, 107 ,"$22,592,780","$270,526", 200 ," 11,921 ","$2,115,434,044","$31,061,272"," 29,664 ",,,
2030,NCAH,FL,33635, 27 ,"$5,843,422","$94,407", 59 ," 3,840 ","$1,120,102,123","$17,170,526"," 15,741 ",,,
2030,NCAH,FL,33050, 393 ,"$192,095,497","$1,812,540", 486 ," 8,793 ","$3,268,993,241","$31,976,517"," 8,922 ",,,
2030,NCAH,FL,33157, 53 ,"$9,491,624","$154,595", 149 ," 21,081 ","$6,104,721,310","$84,046,680"," 63,226 ",,,
2030,NCAH,FL,33767, 268 ,"$161,968,577","$2,383,783", 254 ," 9,058 ","$4,569,761,341","$76,577,216"," 8,007 ",,,
2030,NCAH,FL,33773, 15 ,"$1,927,440","$22,783", 29 ," 7,628 ","$1,528,127,058","$23,210,183"," 16,826 ",,,
2030,NCAH,FL,33704, 6 ,"$4,429,122","$66,400", 11 ," 7,073 ","$2,666,738,944","$37,963,510"," 16,098 ",,,
2030,NCAH,FL,33486, 1 ,"$492,157","$6,884", 2 ," 8,880 ","$3,628,009,992","$50,404,518"," 21,720 ",,,
2030,NCAH,FL,32578, 13 ,"$5,055,431","$52,431", 29 ," 14,989 ","$3,211,784,981","$32,398,461"," 30,108 ",,,
2030,NCAH,FL,32963, 53 ,"$105,823,870","$1,182,517", 69 ," 13,398 ","$9,703,385,320","$123,086,685"," 14,911 ",,,
2030,NCAH,FL,33710, 1 ,"$495,830","$6,217", 2 ," 14,535 ","$2,757,035,639","$37,118,525"," 32,780 ",,,
2030,NCAH,FL,33534, 9 ,"$1,928,858","$28,343", 23 ," 4,996 ","$722,060,387","$12,728,256"," 12,839 ",,,
2030,NCAH,FL,32569, 3 ,"$1,462,733","$15,803", 6 ," 5,531 ","$879,364,427","$8,531,085"," 11,235 ",,,
2030,NCAH,FL,33716, 1 ,"$41,500,000","$926,334", 2 ," 2,860 ","$1,800,779,037","$36,207,637"," 15,424 ",,,
2030,NCAH,FL,33711, 10 ,"$2,897,426","$42,453", 20 ," 8,739 ","$1,418,060,241","$19,276,704"," 19,162 ",,,
2030,NCAH,FL,33167, 1 ,"$146,671","$2,352", 3 ," 4,849 ","$1,089,391,283","$14,567,107"," 18,846 ",,,
2030,NCAH,FL,33141, 349 ,"$91,199,697","$1,251,240", 558 ," 16,250 ","$8,671,179,701","$123,022,505"," 35,249 ",,,
2030,NCAH,FL,33569, 5 ,"$568,564","$9,458", 13 ," 9,576 ","$1,679,799,198","$28,171,073"," 23,074 ",,,
2030,NCAH,FL,33786, 10 ,"$7,769,813","$99,861", 14 ," 1,480 ","$834,624,802","$11,235,884"," 1,669 ",,,
2030,NCAH,FL,33709, 10 ,"$1,818,625","$20,418", 18 ," 12,165 ","$1,391,500,928","$21,166,227"," 26,023 ",,,
2030,NCAH,FL,33570, 17 ,"$3,814,809","$60,403", 38 ," 11,110 ","$1,587,791,407","$28,446,597"," 20,758 ",,,
2030,NCAH,FL,33572, 17 ,"$3,514,880","$54,280", 36 ," 10,410 ","$2,109,300,593","$42,415,724"," 14,117 ",,,
2030,NCAH,FL,33705, 69 ,"$16,025,232","$259,989", 127 ," 10,993 ","$1,832,771,263","$22,662,657"," 26,435 ",,,
2030,NCAH,FL,33708, 194 ,"$83,653,290","$1,096,290", 234 ," 12,241 ","$3,884,865,095","$54,641,169"," 15,447 ",,,
2030,NCAH,FL,33181, 12 ,"$8,874,671","$130,812", 22 ," 6,891 ","$2,861,379,933","$43,596,653"," 18,413 ",,,
2030,NCAH,FL,33401, 46 ,"$15,054,566","$105,625", 65 ," 14,050 ","$5,982,344,375","$108,304,202"," 24,879 ",,,
2030,NCAH,FL,33782, 2 ,"$1,728,105","$29,555", 4 ," 8,680 ","$1,490,140,622","$21,750,970"," 20,850 ",,,
2030,NCAH,FL,32081, 11 ,"$9,552,451","$131,092", 29 ," 6,657 ","$1,646,623,926","$27,787,498"," 4,524 ",,,
2030,NCAH,FL,33001, 1 ,"$1,351,970","$11,093", 0 , 492 ,"$134,366,580","$1,243,522", 315 ,,,
2030,NCAH,FL,33149, 2 ,"$11,228,248","$106,791", 4 ," 7,324 ","$10,956,685,717","$140,376,184"," 12,389 ",,,
2030,NCAH,FL,34614, 1 ,"$420,129","$3,467", 2 ," 11,843 ","$462,428,974","$5,913,332"," 6,692 ",,,
2030,NCAH,FL,33462, 11 ,"$4,941,969","$82,085", 22 ," 12,311 ","$4,310,488,742","$68,596,922"," 30,879 ",,,
